Date,Site,VidFile,Camera,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,06:00,06:41,Pomacentrus moluccensis,3,2,0_5
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,06:00,06:03,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,06:17,06:35,Chaetodon lunulatus,5,1,10_20
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,06:52,12:00,Pomacentrus moluccensis,0,2,0_5
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,08:12,08:56,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,09:19,09:20,Chaetodon lunulatus,0,1,10_20
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,09:29,09:38,Thalassoma hardwicke,0,1,10_20
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,10:35,11:02,Chaetodon lunulatus,1,2,10_20
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,11:01,11:14,Pomacentrus chrysurus,4,1,0_5
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,11:17,11:51,Chaetodon lunulatus,5,1,10_20
2019-11-29,CornerBeach,GOPR9036,GP-9,CB,11:40,11:45,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,00:00,12:00,Pomacentrus moluccensis,4,2,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,00:35,00:52,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,00:55,00:59,Pomacentrus chrysurus,1,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,01:10,01:35,Pomacentrus chrysurus,4,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,01:18,01:23,Hemigymnus melapterus,1,1,10_20
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,01:22,01:27,Chlorurus spilurus,3,1,10_20
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,02:35,02:49,Pomacentrus chrysurus,4,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,03:01,03:06,Hipposcarus longiceps,0,1,20_30
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,03:49,03:49,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,04:00,04:13,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,04:21,04:44,Pomacentrus chrysurus,2,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,04:58,05:21,Pomacentrus chrysurus,4,3,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,05:41,06:00,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,06:19,06:30,Hipposcarus longiceps,6,1,20_30
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,06:48,06:54,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,06:48,07:00,Chaetodon vagabondus,2,1,5_10
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,07:16,07:28,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,07:42,07:52,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,07:51,08:14,Thalassoma hardwicke,0,1,10_20
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,08:39,08:58,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,10:26,10:33,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,10:45,10:59,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,11:01,11:17,Hemigymnus melapterus,0,1,10_20
2019-11-29,CornerBeach,GOPR19036,GP-9,CB,11:28,11:41,Thalassoma hardwicke,2,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,00:00,11:55,Pomacentrus moluccensis,2,2,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,00:02,00:14,Hemigymnus melapterus,1,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,00:17,00:22,Chaetodon vagabondus,4,1,5_10
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,00:27,00:35,Hemigymnus melapterus,0,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,00:29,00:46,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,01:04,01:28,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,01:53,02:06,Pomacentrus chrysurus,2,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,02:13,02:56,Pomacentrus chrysurus,2,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,02:39,02:48,Hemigymnus melapterus,0,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,03:06,03:26,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,03:40,03:48,Hipposcarus longiceps,0,1,20_30
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,04:00,04:07,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,04:08,04:15,Hipposcarus longiceps,0,1,20_30
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,04:16,04:18,Chaetodon lunulatus,0,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,04:35,04:37,Hemigymnus melapterus,0,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,06:50,07:01,Chaetodon baronessa,1,1,5_10
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,07:23,07:28,Chaetodon baronessa,0,1,5_10
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,07:40,07:44,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,08:51,08:59,Pomacentrus chrysurus,2,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,08:57,09:01,Thalassoma hardwicke,0,1,10_20
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,09:38,09:49,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,10:40,10:46,Pomacentrus chrysurus,0,1,0_5
2019-11-29,CornerBeach,GOPR29036,GP-9,CB,11:52,12:00,Pomacentrus chrysurus,0,1,0_5
