Date,Site,Camera,VidFile,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:00,12:00,Acanthochromis polyacanthus,168,7,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:00,0:02,Hemigymnus melapterus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:00,0:18,Chlorurus spilurus,6,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:06,0:28,Ctenochaetus striatus,2,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:29,0:32,Chlorurus spilurus,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:42,1:11,Ctenochaetus striatus,2,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:47,1:06,Hemigymnus melapterus,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,1:03,1:07,Chlorurus spilurus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,1:14,1:26,Hemigymnus melapterus,3,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,2:57,3:13,Hemigymnus melapterus,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:05,4:28,Hemigymnus melapterus,6,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:18,4:26,Thalassoma lunare,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:32,4:38,Stethojulis trilineata,1,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:55,5:10,Chlorurus spilurus,3,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,0:41,1:09,Pomacentrus wardi,8,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,1:30,1:33,Stegastes apicalis,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,1:35,1:46,Pomacentrus wardi,7,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,1:51,2:03,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,2:12,2:21,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,2:43,2:52,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,3:06,3:34,Pomacentrus wardi,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:24,4:29,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:37,4:47,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,5:23,5:34,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,5:43,5:50,Pomacentrus wardi,3,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:07,6:25,Hemigymnus melapterus,5,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:14,6:37,Chaetodon auriga,8,2,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:29,7:03,Chlorurus spilurus,47,2,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:29,6:55,Pomacentrus wardi,9,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:02,7:11,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:46,7:19,Hemigymnus melapterus,7,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:17,7:28,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:29,7:33,Thalassoma lunare,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:26,7:38,Hemigymnus melapterus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:37,7:45,Thalassoma lunare,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:40,8:21,Hemigymnus melapterus,20,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:40,8:24,Chlorurus spilurus,23,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,7:47,8:06,Pomacentrus wardi,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,3:19,3:24,Ctenochaetus striatus,0,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,4:03,4:31,Ctenochaetus striatus,5,1,20_30
1/12/2019,Lagoon1,GP-9,GP019038,CC,6:20,6:25,Ctenochaetus striatus,0,1,10_20
