Date,Site,VidFile,Camera,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
15/11/2019,North3,GP015241,3,CB,0:00,0:02,Ctenochaetus striatus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,0:04,0:18,Ctenochaetus striatus,10,1,10_20
15/11/2019,North3,GP015241,3,CB,0:13,0:20,Acanthurus nigrofuscus,2,1,5_10
15/11/2019,North3,GP015241,3,CB,0:27,0:44,Ctenochaetus striatus,13,1,10_20
15/11/2019,North3,GP015241,3,CB,0:50,1:07,Ctenochaetus striatus,15,1,10_20
15/11/2019,North3,GP015241,3,CB,1:01,1:03,Acanthurus nigrofuscus,0,2,10_20
15/11/2019,North3,GP015241,3,CB,1:25,1:30,Acanthurus nigrofuscus,4,1,5_10
15/11/2019,North3,GP015241,3,CB,1:25,1:27,Zebrasoma scopas,0,1,10_20
15/11/2019,North3,GP015241,3,CB,1:30,1:33,Ctenochaetus striatus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,1:37,1:39,Acanthurus nigrofuscus,0,1,5_10
15/11/2019,North3,GP015241,3,CB,1:47,1:50,Ctenochaetus striatus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,1:57,2:05,Ctenochaetus striatus,0,3,5_10
15/11/2019,North3,GP015241,3,CB,2:10,2:18,Ctenochaetus striatus,0,3,10_20
15/11/2019,North3,GP015241,3,CB,2:14,2:19,Acanthurus nigrofuscus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,2:55,2:57,Ctenochaetus striatus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,3:28,3:47,Ctenochaetus striatus,8,1,10_20
15/11/2019,North3,GP015241,3,CB,3:55,3:56,Acanthurus nigrofuscus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,3:57,3:59,Zebrasoma scopas,0,1,10_20
15/11/2019,North3,GP015241,3,CB,4:18,4:25,Zebrasoma scopas,0,1,10_20
15/11/2019,North3,GP015241,3,CB,4:29,4:32,Acanthurus nigrofuscus,0,1,10_20
15/11/2019,North3,GP015241,3,CB,4:51,5:01,Acanthurus nigrofuscus,0,1,5_10
15/11/2019,North3,GP015241,3,CB,5:18,5:20,Acanthurus nigrofuscus,0,1,5_10
15/11/2019,North3,GP015241,3,CB,5:28,5:31,Ctenochaetus striatus,2,1,10_20
15/11/2019,North3,GP015241,3,CB,5:32,5:33,Acanthurus nigrofuscus,0,1,5_10
15/11/2019,North3,GP015241,3,CB,5:37,5:38,Ctenochaetus striatus,0,1,10_20
