Date,Site,VidFile,Camera,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
2019-11-19,Resort,GOPR9031,GP-9,CB,06:10,06:19,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,06:25,06:30,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,06:31,06:54,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,06:35,06:39,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,06:40,06:47,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,07:10,08:47,Chrysiptera caesifrons,10,2,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,07:26,07:37,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,07:45,08:01,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,08:06,08:16,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,08:32,08:39,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,08:58,09:02,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,09:16,09:42,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,09:53,09:56,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,10:10,11:34,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,10:14,10:30,Pomacentrus chrysurus,3,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,10:51,10:53,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,10:58,11:19,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,11:46,11:54,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR9031,GP-9,CB,11:51,11:57,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:02,00:07,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:05,00:13,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:19,00:29,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:24,00:33,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:39,01:06,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,00:49,00:53,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,01:14,01:21,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,01:26,01:39,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,01:28,12:00,Chrysiptera caesifrons,15,2,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,03:09,03:11,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,03:15,03:19,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,04:03,04:28,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,04:37,04:45,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,05:34,05:40,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,05:52,06:00,Chaetodon lunulatus,8,2,5_10
2019-11-19,Resort,GOPR19031,GP-9,CB,06:11,06:23,Pomacentrus chrysurus,2,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,06:30,07:14,Pomacentrus chrysurus,7,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,07:23,07:40,Pomacentrus chrysurus,3,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,07:46,07:53,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,07:59,08:17,Pomacentrus chrysurus,2,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,08:29,10:02,Pomacentrus chrysurus,14,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,09:51,09:58,Hemigymnus melapterus,0,1,10_20
2019-11-19,Resort,GOPR19031,GP-9,CB,10:10,10:32,Pomacentrus chrysurus,5,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,10:40,10:58,Pomacentrus chrysurus,2,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,11:07,11:20,Hemigymnus melapterus,3,1,10_20
2019-11-19,Resort,GOPR19031,GP-9,CB,11:38,11:43,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR19031,GP-9,CB,11:57,12:00,Pomacentrus chrysurus,0,1,0_5
2019-11-19,Resort,GOPR29031,GP-9,CB,00:00,03:36,Chrysiptera caesifrons,0,2,0_5
2019-11-19,Resort,GOPR29031,GP-9,CB,00:18,00:30,Hemigymnus melapterus,1,1,10_20
2019-11-19,Resort,GOPR29031,GP-9,CB,01:21,01:29,Pomacentrus chrysurus,0,1,0_5
