Date,Site,Camera,VidFile,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
18/11/2019,Southeast,GP-8,GP019004,CC,0:00,2:48,Pomacentrus chrysurus,0,3,5_10
18/11/2019,Southeast,GP-8,GP019004,CC,2:55,6:00,Pomacentrus chrysurus,5,1,5_10
18/11/2019,Southeast,GP-8,GP019004,CC,0:21,0:39,Ctenochaetus striatus,2,1,10_20
18/11/2019,Southeast,GP-8,GP019004,CC,4:51,4:56,Ctenochaetus striatus,0,2,10_20
18/11/2019,Southeast,GP-8,GP019004,CC,5:03,5:45,Scarus rubroviolaceus,2,1,20_30
18/11/2019,Southeast,GP-8,GP019004,CC,5:46,6:00,Ctenochaetus striatus,0,19,10_20
18/11/2019,Southeast,GP-8,GP029004,CC,7:06,7:39,Scarus frenatus,1,1,20_30
18/11/2019,Southeast,GP-8,GP029004,CC,0:00,12:00,Pomacentrus chrysurus,19,1,5_10
18/11/2019,Southeast,GP-8,GP039004,CC,0:00,12:00,Pomacentrus chrysurus,18,2,5_10
18/11/2019,Southeast,GP-8,GP039004,CC,1:53,2:04,Hemigymnus melapterus,0,1,10_20
18/11/2019,Southeast,GP-8,GP039004,CC,2:12,2:31,Hemigymnus melapterus,3,1,10_20
18/11/2019,Southeast,GP-8,GP039004,CC,2:11,2:15,Bodianus bimaculatus,0,1,_5
18/11/2019,Southeast,GP-8,GP039004,CC,1:29,1:48,Bodianus bimaculatus,10,1,_5
18/11/2019,Southeast,GP-8,GP039004,CC,2:57,3:09,Bodianus bimaculatus,4,1,_5
18/11/2019,Southeast,GP-8,GP039004,CC,5:00,5:40,Siganus puellus,3,1,10_20
