Date,Site,VidFile,Camera,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:00,7:23,Ctenochaetus striatus,19,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:00,3:44,Ctenochaetus striatus,70,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:00,5:46,Ctenochaetus striatus,33,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:50,6:18,Ctenochaetus striatus,17,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,6:30,7:31,Ctenochaetus striatus,21,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,7:45,8:33,Ctenochaetus striatus,25,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,9:00,9:56,Ctenochaetus striatus,19,1,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,11:11,12:00,Ctenochaetus striatus,20,2,10_20
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:00,0:34,Pomacentrus chrysurus,3,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,1:05,1:43,Pomacentrus chrysurus,3,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,1:51,1:58,Pomacentrus chrysurus,0,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,2:09,2:12,Pomacentrus chrysurus,0,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,2:27,2:40,Pomacentrus chrysurus,0,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,2:55,3:07,Pomacentrus chrysurus,1,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,3:00,3:58,Pomacentrus chrysurus,4,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:00,5:24,Pomacentrus chrysurus,4,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:29,5:40,Pomacentrus chrysurus,2,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,6:46,7:57,Pomacentrus chrysurus,6,1,5_10
21/11/2019,TurtleBeach,GP019033,GP-9,CC,8:00,8:23,Pomacentrus chrysurus,6,1,5_10
