Date,Site,Camera,VidFile,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
6/11/2019,Vickis,4,SUNP0014,CC,0:13,0:20,Chaetodon melannotus,2,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,0:25,0:33,Zebrasoma scopas,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,0:33,0:40,Chaetodon melannotus,3,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,0:01,0:07,Hemigymnus melapterus,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,0:47,1:07,Chaetodon melannotus,6,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:13,1:23,Chaetodon melannotus,2,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:32,2:19,Scarus niger,25,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:38,1:43,Hemigymnus melapterus,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:43,1:49,Novaculichthys taeniourus,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:47,2:01,Chaetodon melannotus,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,1:59,2:11,Hemigymnus melapterus,1,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,3:34,3:54,Chlorurus microrhinos,7,1,20_30
6/11/2019,Vickis,4,SUNP0014,CC,4:06,4:17,Chaetodon melannotus,0,1,10_20
6/11/2019,Vickis,4,SUNP0014,CC,4:04,5:00,Siganus corallinus,18,2,10_20
6/11/2019,Vickis,4,SUNP0015,CC,0:00,0:34,Siganus corallinus,9,2,10_20
6/11/2019,Vickis,4,SUNP0015,CC,0:02,0:30,Pomacentrus chrysurus,14,1,_5
6/11/2019,Vickis,4,SUNP0015,CC,0:54,1:09,Pomacentrus chrysurus,0,1,_5
6/11/2019,Vickis,4,SUNP0015,CC,1:31,1:34,Pomacentrus chrysurus,2,1,_5
6/11/2019,Vickis,4,SUNP0015,CC,2:12,2:23,Pomacentrus chrysurus,0,1,_5
6/11/2019,Vickis,4,SUNP0015,CC,2:24,2:27,Zebrasoma scopas,0,1,10_20
