Date,Site,VidFile,Camera,VidRecord,Timestamp,Species,Count
6/11/2019,Vickis,SUNP0014,4,CC,0:01,Lutjanus gibbus,5
6/11/2019,Vickis,SUNP0014,4,CC,0:03,Hemigymnus melapterus,1
6/11/2019,Vickis,SUNP0014,4,CB,0:15,Chaetodon melannotus,1
6/11/2019,Vickis,SUNP0014,4,CB,0:17,Amblyglyphidodon curacao,1
6/11/2019,Vickis,SUNP0014,4,CB,0:24,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0014,4,CB,0:33,Chaetodon melannotus,1
6/11/2019,Vickis,SUNP0014,4,CC,1:27,Thalassoma hardwicke,1
6/11/2019,Vickis,SUNP0014,4,CC,1:32,Scarus niger,1
6/11/2019,Vickis,SUNP0014,4,CC,1:47,Novaculichthys taeniourus,1
6/11/2019,Vickis,SUNP0014,4,CC,1:51,Chaetodon ulietensis,1
6/11/2019,Vickis,SUNP0014,4,CC,2:10,Naso annulatus,1
6/11/2019,Vickis,SUNP0014,4,CC,3:16,Nato lituratus,1
6/11/2019,Vickis,SUNP0014,4,CC,3:40,Nato lituratus,1
6/11/2019,Vickis,SUNP0014,4,CC,3:54,Chlorurus microrhinos,1
6/11/2019,Vickis,SUNP0014,4,CC,4:03,Chaetodon ulietensis,1
6/11/2019,Vickis,SUNP0014,4,CB,4:08,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0014,4,CC,4:10,Chaetodon melannotus,3
6/11/2019,Vickis,SUNP0014,4,CB,4:25,Siganus corallinus,2
6/11/2019,Vickis,SUNP0015,4,CB,0:26,Pomacentrus chrysurus,1
6/11/2019,Vickis,SUNP0015,4,CC,1:03,Neoglyphidodon melas,1
6/11/2019,Vickis,SUNP0015,4,CC,1:07,Pomacentrus chrysurus,1
6/11/2019,Vickis,SUNP0015,4,CC,1:38,Pomacentrus moluccensis,1
6/11/2019,Vickis,SUNP0015,4,CC,2:12,Cephalopholis argus,1
6/11/2019,Vickis,SUNP0015,4,CC,2:33,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0015,4,CC,3:06,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0015,4,CC,3:09,Pomacentrus grammorhynchus,1
6/11/2019,Vickis,SUNP0015,4,CC,3:16,Pomacentrus moluccensis,1
6/11/2019,Vickis,SUNP0015,4,CC,3:30,Chaetodon melannotus,2
6/11/2019,Vickis,SUNP0015,4,CB,3:32,Amblyglyphidodon curacao,1
6/11/2019,Vickis,SUNP0015,4,CC,3:46,Thalassoma hardwicke,1
6/11/2019,Vickis,SUNP0015,4,CC,4:16,Thalassoma hardwicke,1
6/11/2019,Vickis,SUNP0016,4,CB,3:35,Halichoeres melanurus,1
6/11/2019,Vickis,SUNP0016,4,CC,3:52,Thalassoma hardwicke,1
6/11/2019,Vickis,SUNP0016,4,CC,3:53,Halichoeres melanurus,1
6/11/2019,Vickis,SUNP0016,4,CC,4:33,Labridae,2
6/11/2019,Vickis,SUNP0017,4,CC,0:03,Pomacentridae ,1
6/11/2019,Vickis,SUNP0017,4,CC,0:15,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0017,4,CC,0:28,Labrichthys unilineatus,1
6/11/2019,Vickis,SUNP0017,4,CC,0:28,Scarus frenatus,1
6/11/2019,Vickis,SUNP0017,4,CB,0:28,Zebrasoma scopas,1
6/11/2019,Vickis,SUNP0017,4,CC,1:01,Thalassoma hardwicke,1
6/11/2019,Vickis,SUNP0017,4,CC,1:13,Chaetodon rafflesii,1
6/11/2019,Vickis,SUNP0017,4,CC,1:24,Chaetodon rafflesii,1
6/11/2019,Vickis,SUNP0017,4,CC,3:59,Chaetodon melannotus,1
6/11/2019,Vickis,SUNP0018,4,CC,1:16,Bodianus axillaris,1
6/11/2019,Vickis,SUNP0019,4,CC,1:22,Thalassoma hardwicke,1
