site,tile,quadrant,observer,Acrorec,Otherrec,Por,Fa,I
CornerBeach,1,Q1,KW,6,13,0,0,0
CornerBeach,3,Q1,KW,0,0,0,0,0
CornerBeach,5,Q1,KW,0,0,0,0,0
CornerBeach,2,Q2,VB,1,2,0,0,0
CornerBeach,4,Q2,VB,4,1,0,0,0
CornerBeach,6,Q2,VB,4,1,0,0,0
CornerBeach,7,Q3,KW,9,17,0,0,0
CornerBeach,9,Q3,KW,0,0,0,0,0
CornerBeach,11,Q3,KW,0,0,0,0,0
CornerBeach,8,Q4,VB,4,4,0,0,0
CornerBeach,10,Q4,VB,4,0,0,0,0
CornerBeach,12,Q4,VB,0,0,0,0,0
Lagoon1,1,Q1,MD,0,0,0,0,0
Lagoon1,3,Q1,MD,0,0,0,0,0
Lagoon1,5,Q1,MD,0,0,0,0,0
Lagoon1,2,Q2,NA,0,0,0,0,0
Lagoon1,4,Q2,NA,0,0,0,0,0
Lagoon1,6,Q2,NA,0,0,0,0,0
Lagoon1,7,Q3,KZ,0,8,0,0,0
Lagoon1,9,Q3,KZ,0,0,0,0,0
Lagoon1,11,Q3,KZ,0,0,0,0,0
Lagoon1,8,Q4,VB,0,0,0,0,0
Lagoon1,10,Q4,VB,0,3,0,0,0
Lagoon1,12,Q4,VB,0,1,0,0,0
North3,1,Q1,KZ,20,9,0,0,0
North3,3,Q1,KZ,41,32,,0,0
North3,5,Q1,MD,23,6,1,5,0
North3,2,Q2,KZ,8,2,0,0,0
North3,4,Q2,KZ,16,17,0,0,0
North3,6,Q2,VB,17,10,0,0,0
North3,7,Q3,MD,11,4,1,0,0
North3,9,Q3,MD,2,4,0,0,0
North3,11,Q3,MD,2,1,0,0,0
North3,8,Q4,VB,13,9,0,0,0
North3,10,Q4,VB,13,9,0,0,0
North3,12,Q4,KZ,6,20,0,0,0
Resort,1,Q1,MD,1,5,0,0,0
Resort,3,Q1,MD,3,6,0,0,0
Resort,5,Q1,KZ,10,20,0,0,0
Resort,2,Q2,DPT,6,0,0,0,0
Resort,4,Q2,MD,2,6,0,0,0
Resort,6,Q2,VB,6,2,0,0,0
Resort,7,Q3,KW,8,29,0,0,0
Resort,9,Q3,KW,0,0,0,0,0
Resort,11,Q3,KW,0,0,0,0,0
Resort,8,Q4,VB,4,5,0,0,0
Resort,10,Q4,VB,2,3,0,0,0
Resort,12,Q4,VB,0,0,0,0,0
Southeast,1,Q1,KZ,13,20,9,0,0
Southeast,3,Q1,KZ,0,0,0,0,0
Southeast,5,Q1,KZ,0,0,0,0,0
Southeast,2,Q2,VB,1,0,0,0,0
Southeast,4,Q2,VB,2,1,0,0,0
Southeast,6,Q2,VB,7,3,0,0,0
Southeast,7,Q3,KZ,2,13,0,0,0
Southeast,9,Q3,KZ,0,0,0,0,0
Southeast,11,Q3,KZ,0,0,0,0,0
Southeast,8,Q4,KZ,5,2,0,0,0
Southeast,10,Q4,VB,1,1,0,0,0
Southeast,12,Q4,VB,1,0,0,0,0
Turtle,1,Q1,MD,0,0,0,0,0
Turtle,3,Q1,MD,0,0,0,0,0
Turtle,5,Q1,MD,1,0,0,0,0
Turtle,2,Q2,JM,3,0,0,0,0
Turtle,4,Q2,JM,0,0,0,0,0
Turtle,6,Q2,JM,0,0,0,0,0
Turtle,7,Q3,KZ,6,21,0,0,0
Turtle,9,Q3,KZ,0,0,0,0,0
Turtle,11,Q3,KZ,0,0,0,0,0
Turtle,8,Q4,VB,0,0,0,0,0
Turtle,10,Q4,VB,1,1,0,0,0
Turtle,12,Q4,VB,0,0,0,0,0
Vicky,1,Q1,MD,2,4,0,3,1
Vicky,3,Q1,MD,3,0,0,0,0
Vicky,5,Q1,MD,2,5,0,0,0
Vicky,2,Q2,JM,2,0,0,0,0
Vicky,4,Q2,JM,1,0,0,0,0
Vicky,6,Q2,JM,3,3,0,0,0
Vicky,7,Q3,KZ,8,16,2,0,0
Vicky,9,Q3,KZ,3,3,2,0,0
Vicky,11,Q3,JM,1,0,0,0,0
Vicky,8,Q4,VB,1,3,0,0,0
Vicky,10,Q4,VB,2,0,0,0,0
Vicky,12,Q4,JM,2,0,0,0,0
