Site,Species,n
CornerBeach,Acanthurus blochii,1
CornerBeach,Balistoides viridescens,2
CornerBeach,Carcharhinus melanopterus,1
CornerBeach,Cephalopholis sp,1
CornerBeach,Chaetodon auriga,2
CornerBeach,Chaetodon baronessa,1
CornerBeach,Chaetodon ephippium,1
CornerBeach,Chaetodon lunulatus,3
CornerBeach,Chaetodon vagabundus,1
CornerBeach,Cheilinus fasciatus,1
CornerBeach,Cheilinus trilobatus,1
CornerBeach,Chlorurus spilurus,2
CornerBeach,Chrysiptera sp,2
CornerBeach,Ctenochaetus striatus,2
CornerBeach,Grammatorcynus bicarinatus,1
CornerBeach,Halichoeres chloropterus,2
CornerBeach,Hemigymnus melapterus,4
CornerBeach,Hipposcarus longiceps,2
CornerBeach,Lutjanus bohar,1
CornerBeach,Lutjanus carponotatus,1
CornerBeach,Lutjanus fulviflamma,1
CornerBeach,Pomacentrus chrysurus,4
CornerBeach,Pomacentrus moluccensis,3
CornerBeach,Scarus niger,4
CornerBeach,Scarus rivulatus,1
CornerBeach,Siganus doliatus,5
CornerBeach,Siganus vulpinus,3
CornerBeach,Thalassoma hardwicke,4
CornerBeach,Uraspis uraspis,1
CornerBeach,Zanclus cornutus,2
Lagoon1,Acanthochromis polyacanthus,14
Lagoon1,Acanthurus nigricauda,2
Lagoon1,Acanthurus nigrofuscus,1
Lagoon1,Chaetodon auriga,4
Lagoon1,Cheilinus chlorourus,2
Lagoon1,Chlorurus spilurus,3
Lagoon1,Chromis viridis,4
Lagoon1,Ctenochaetus striatus,3
Lagoon1,Dischistodus prosopotaenia,1
Lagoon1,Halichoeres chloropterus,1
Lagoon1,Halichoeres melanurus,4
Lagoon1,Hemigymnus melapterus,6
Lagoon1,Lethrinus atkinsoni,3
Lagoon1,Lethrinus ornatus,1
Lagoon1,Lutjanus gibbus,1
Lagoon1,Plectropomus leopardus,1
Lagoon1,Pomacentrus chrysurus,3
Lagoon1,Pomacentrus coelestis,2
Lagoon1,Pomacentrus wardi,1
Lagoon1,Scarus altipinnis,2
Lagoon1,Scarus rivulatus,1
Lagoon1,Scarus sp,4
Lagoon1,Scolopsis bilineata,1
Lagoon1,Siganus doliatus,3
Lagoon1,Stegastes apicalis,2
Lagoon1,Stethojulis bandanensis,1
Lagoon1,Stethojulis trilineata,1
Lagoon1,Thalassoma lunare,3
Lagoon1,Zanclus cornutus,2
North3,Acanthurus nigricauda,10
North3,Acanthurus nigrofuscus,25
North3,Chaetodon citrinellus,6
North3,Chaetodon ephippium,1
North3,Chaetodon unimaculatus,3
North3,Chaetodon vagabundus,2
North3,Chlorurus microrhinos,2
North3,Coris gaimard,3
North3,Ctenochaetus striatus,34
North3,Halichoeres nebulosus,1
North3,Hemigymnus melapterus,3
North3,Lethrinus atkinsoni,1
North3,Lethrinus lentjan,1
North3,Naso brevirostris,1
North3,Naso lituratus,4
North3,Naso unicornis,1
North3,Plectropomus leopardus,2
North3,Pomacanthus sexstriatus,1
North3,Pomacentrus chrysurus,3
North3,Scarus flavipectoralis,2
North3,Scarus frenatus,3
North3,Scarus globiceps,4
North3,Scarus niger,6
North3,Scarus rivulatus,2
North3,Scarus schlegeli,2
North3,Scarus sp,1
North3,Siganus doliatus,3
North3,Sufflamen chrysopterum,3
North3,Thalassoma hardwicke,10
North3,Thalassoma nigrofasciatum,8
North3,Zebrasoma scopas,8
Resort,Chaetodon baronessa,1
Resort,Chaetodon lineolatus,2
Resort,Chaetodon lunulatus,2
Resort,Chlorurus spilurus,1
Resort,Chrysiptera caesifrons,3
Resort,Diagramma pictum,2
Resort,Epibulus insidiator,1
Resort,Halichoeres melanurus,1
Resort,Hemigymnus melapterus,4
Resort,Lethrinus atkinsoni,2
Resort,Lutjanus carponotatus,3
Resort,Parupeneus barberinus,2
Resort,Pomacentrus chrysurus,2
Resort,Pomacentrus moluccensis,1
Resort,Scarus niger,4
Resort,Siganus punctatissimus,3
Resort,Siganus punctatus,3
Resort,Thalassoma lutescens,2
Southeast,Abudefduf whitleyi,8
Southeast,Acanthurus nigrofuscus,54
Southeast,Acanthurus olivaceus,3
Southeast,Acanthurus sp,2
Southeast,Centropyge bicolor,1
Southeast,Cheilinus trilobatus,3
Southeast,Cirripectes stigmaticus,1
Southeast,Coris gaimard,2
Southeast,Ctenochaetus striatus,6
Southeast,Epibulus insidiator,1
Southeast,Grammatorcynus bicarinatus,3
Southeast,Halichoeres margaritaceus,1
Southeast,Halichoeres marginatus,2
Southeast,Halichoeres nebulosus,4
Southeast,Hemigymnus melapterus,4
Southeast,Labrichthys unilineatus,1
Southeast,Labroides dimidiatus,1
Southeast,Lethrinus nebulosus,1
Southeast,Macropharyngodon meleagris,1
Southeast,Macropharyngodon negrosensis,1
Southeast,Naso brevirostris,26
Southeast,Novaculichthys taeniourus,4
