"Site","Species","Length","BiteTotal","DurationTotal","Bitemaxn","BiteRate"
"CornerBeach","Chaetodon baronessa","5_10",1,16,1,3.75
"CornerBeach","Chaetodon lunulatus","10_20",11,82,2,8.04878048780488
"CornerBeach","Chaetodon vagabundus","5_10",6,17,1,21.1764705882353
"CornerBeach","Chlorurus spilurus","10_20",3,5,1,36
"CornerBeach","Hemigymnus melapterus","10_20",2,52,1,2.30769230769231
"CornerBeach","Hipposcarus longiceps","20_30",6,31,1,11.6129032258065
"CornerBeach","Pomacentrus chrysurus","_5",25,432,3,3.47222222222222
"CornerBeach","Pomacentrus moluccensis","_5",9,1784,2,0.302690582959641
"CornerBeach","Thalassoma hardwicke","10_20",2,49,1,2.44897959183673
"Lagoon1","Acanthochromis polyacanthus","5_10",248,1434,11,10.3765690376569
"Lagoon1","Chaetodon auriga","10_20",8,23,2,20.8695652173913
"Lagoon1","Chlorurus spilurus","5_10",173,332,2,31.2650602409639
"Lagoon1","Ctenochaetus striatus","10_20",80,185,1,25.9459459459459
"Lagoon1","Ctenochaetus striatus","20_30",6,43,2,8.37209302325581
"Lagoon1","Hemigymnus melapterus","10_20",30,125,1,14.4
"Lagoon1","Hemigymnus melapterus","20_30",22,50,1,26.4
"Lagoon1","Hemigymnus melapterus","5_10",79,338,1,14.0236686390533
"Lagoon1","Pomacentrus wardi","5_10",90,649,1,8.32049306625578
"Lagoon1","Scarus altipinnis","10_20",4,35,1,6.85714285714286
"Lagoon1","Stegastes apicalis","5_10",2,25,2,4.8
"Lagoon1","Stethojulis trilineata","10_20",1,6,1,10
"Lagoon1","Thalassoma lunare","5_10",8,84,1,5.71428571428571
"North3","Acanthurus nigrofuscus","10_20",40,96,3,25
"North3","Acanthurus nigrofuscus","5_10",54,123,1,26.3414634146341
"North3","Chaetodon citrinellus","5_10",3,40,2,4.5
"North3","Ctenochaetus striatus","10_20",383,551,6,41.7059891107078
"North3","Naso lituratus","10_20",28,70,1,24
"North3","Pomacanthus sexstriatus","10_20",11,64,1,10.3125
"North3","Sufflamen chrysopterum","10_20",5,35,1,8.57142857142857
"North3","Zebrasoma scopas","10_20",13,51,1,15.2941176470588
"Resort","Chaetodon baronessa","5_10",3,19,1,9.47368421052632
"Resort","Chaetodon lunulatus","5_10",8,8,2,60
"Resort","Chrysiptera caesifrons","_5",33,1540,2,1.28571428571429
"Resort","Hemigymnus melapterus","10_20",7,54,1,7.77777777777778
"Resort","Parupeneus barberinus","5_10",3,27,1,6.66666666666667
"Resort","Pomacentrus chrysurus","_5",46,724,1,3.8121546961326
"Southeast","Ctenochaetus striatus","10_20",2,37,19,3.24324324324324
"Southeast","Hemigymnus melapterus","10_20",3,30,1,6
"Southeast","Pomacentrus chrysurus","5_10",42,1793,3,1.40546569994423
"Southeast","Scarus frenatus","20_30",1,33,1,1.81818181818182
"Southeast","Scarus rubroviolaceus","20_30",2,42,1,2.85714285714286
"Southeast","Siganus puellus","10_20",3,40,1,4.5
"Southeast","Stethojulis trilineata","_5",14,35,1,24
"TurtleBeach","Ctenochaetus striatus","10_20",478,1758,2,16.3139931740614
"TurtleBeach","Dischistodus prosopotaenia","5_10",83,1050,1,4.74285714285714
"TurtleBeach","Halichoeres marginatus","5_10",90,331,1,16.3141993957704
"TurtleBeach","Halichoeres melanurus","10_20",20,92,1,13.0434782608696
"TurtleBeach","Pomacentrus chrysurus","5_10",145,996,1,8.73493975903614
"TurtleBeach","Thalassoma hardwicke","10_20",10,55,1,10.9090909090909
"TurtleBeach","Thalassoma hardwicke","5_10",4,13,1,18.4615384615385
"Vickis","Chaetodon melannotus","10_20",14,112,2,7.5
"Vickis","Chlorurus microrhinos","20_30",7,20,1,21
"Vickis","Hemigymnus melapterus","10_20",1,23,1,2.60869565217391
"Vickis","Pomacentrus chrysurus","_5",46,214,1,12.8971962616822
"Vickis","Scarus niger","10_20",99,214,1,27.7570093457944
"Vickis","Siganus corallinus","10_20",27,90,2,18
"Vickis","Thalassoma hardwicke","_5",2,11,1,10.9090909090909
"Vickis","Thalassoma hardwicke","5_10",12,81,2,8.88888888888889
"Vickis","Zebrasoma scopas","10_20",5,61,1,4.91803278688525
