Date,Site,VidFile,Camera,VidRecord,Timestamp,Species,Count
2019-11-18,Southeast,GP019029,GP-9,CC,00:00,Thalassoma nigrofasciatum,2
2019-11-18,Southeast,GP019029,GP-9,CC,00:02,Thalassoma nigrofasciatum,1
2019-11-18,Southeast,GP019029,GP-9,CC,00:02,Pomacentrus chrysurus,1
2019-11-18,Southeast,GP019029,GP-9,CC,00:01,Anampses twistii,2
2019-11-18,Southeast,GP019029,GP-9,CC,00:05,Hipposcarus longiceps,2
2019-11-18,Southeast,GP019029,GP-9,CC,00:05,Scarus rubroviolaceus,1
2019-11-18,Southeast,GP019029,GP-9,CC,00:05,Naso annulatus,4
2019-11-18,Southeast,GP019029,GP-9,CC,00:04,Labrid juvenile,1
2019-11-18,Southeast,GP019029,GP-9,CC,00:11,Pomacentrus chrysurus,2
2019-11-18,Southeast,GP019029,GP-9,CC,00:18,Thalassoma hardwicke,1
2019-11-18,Southeast,GP019029,GP-9,CC,00:29,Labrid juvenile,3
2019-11-18,Southeast,GP019029,GP-9,CC,00:58,Naso annulatus,2
2019-11-18,Southeast,GP019029,GP-9,CC,01:20,Acanthurus nigrofuscus,3
2019-11-18,Southeast,GP019029,GP-9,CC,01:20,Naso annulatus,2
2019-11-18,Southeast,GP019029,GP-9,CC,01:22,Novaculichthys taeniourus,1
2019-11-18,Southeast,GP019029,GP-9,CC,01:22,Acanthurus nigrofuscus,2
2019-11-18,Southeast,GP019029,GP-9,CC,01:35,Thalassoma nigrofasciatum,2
2019-11-18,Southeast,GP019029,GP-9,CC,01:38,Novaculichthys taeniourus,1
2019-11-18,Southeast,GP019029,GP-9,CC,01:39,Naso annulatus,4
2019-11-18,Southeast,GP019029,GP-9,CC,01:40,Thalassoma nigrofasciatum,1
2019-11-18,Southeast,GP019029,GP-9,CC,01:55,Halichoeres nebulosus,1
2019-11-18,Southeast,GP019029,GP-9,CC,02:10,Ctenochaetus striatus,1
2019-11-18,Southeast,GP019029,GP-9,CC,02:12,Pomacentrus chrysurus,1
