"","family","genus","Species","n"
"1","Pomacentridae","Abudefduf","Abudefduf whitleyi",8
"2","Pomacentridae","Acanthochromis","Acanthochromis polyacanthus",14
"3","Acanthuridae","Acanthurus","Acanthurus blochii",1
"4","Acanthuridae","Acanthurus","Acanthurus nigricauda",12
"5","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",80
"6","Acanthuridae","Acanthurus","Acanthurus olivaceus",3
"7","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon curacao",2
"8","Balistidae","Balistoides","Balistoides viridescens",2
"9","Labridae","Bodianus","Bodianus axillaris",1
"10","Carangidae","Caranx","Caranx sexfasciatus",5
"11","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus",1
"12","Pomacanthidae","Centropyge","Centropyge bicolor",1
"13","Serranidae","Cephalopholis","Cephalopholis argus",1
"14","Chaetodontidae","Chaetodon","Chaetodon auriga",6
"15","Chaetodontidae","Chaetodon","Chaetodon baronessa",2
"16","Chaetodontidae","Chaetodon","Chaetodon citrinellus",6
"17","Chaetodontidae","Chaetodon","Chaetodon ephippium",2
"18","Chaetodontidae","Chaetodon","Chaetodon lineolatus",2
"19","Chaetodontidae","Chaetodon","Chaetodon lunulatus",5
"20","Chaetodontidae","Chaetodon","Chaetodon melannotus",8
"21","Chaetodontidae","Chaetodon","Chaetodon rafflesii",2
"22","Chaetodontidae","Chaetodon","Chaetodon ulietensis",2
"23","Chaetodontidae","Chaetodon","Chaetodon unimaculatus",3
"24","Chaetodontidae","Chaetodon","Chaetodon vagabundus",4
"25","Labridae","Cheilinus","Cheilinus chlorourus",3
"26","Labridae","Cheilinus","Cheilinus fasciatus",1
"27","Labridae","Cheilinus","Cheilinus trilobatus",4
"28","Scaridae","Chlorurus","Chlorurus microrhinos",3
"29","Scaridae","Chlorurus","Chlorurus spilurus",6
"30","Pomacentridae","Chromis","Chromis viridis",4
"31","Pomacentridae","Chrysiptera","Chrysiptera caesifrons",4
"32","Blenniidae","Cirripectes","Cirripectes stigmaticus",1
"33","Labridae","Coris","Coris gaimard",5
"34","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",47
"35","Pomacentridae","Dascyllus","Dascyllus aruanus",1
"36","Haemulidae","Diagramma","Diagramma pictum",2
"37","Pomacentridae","Dischistodus","Dischistodus prosopotaenia",3
"38","Pomacentridae","Dischistodus","Dischistodus pseudochrysopoecilus",1
"39","Labridae","Epibulus","Epibulus insidiator",2
"40","Scombridae","Grammatorcynus","Grammatorcynus bicarinatus",4
"41","Labridae","Halichoeres","Halichoeres chloropterus",4
"42","Labridae","Halichoeres","Halichoeres margaritaceus",1
"43","Labridae","Halichoeres","Halichoeres marginatus",5
"44","Labridae","Halichoeres","Halichoeres melanurus",10
"45","Labridae","Halichoeres","Halichoeres nebulosus",5
"46","Labridae","Hemigymnus","Hemigymnus melapterus",23
"47","Scaridae","Hipposcarus","Hipposcarus longiceps",2
"48","Labridae","Labrichthys","Labrichthys unilineatus",2
"49","Labridae","Labroides","Labroides dimidiatus",1
"50","Lethrinidae","Lethrinus","Lethrinus atkinsoni",6
"51","Lethrinidae","Lethrinus","Lethrinus lentjan",1
"52","Lethrinidae","Lethrinus","Lethrinus nebulosus",1
"53","Lethrinidae","Lethrinus","Lethrinus ornatus",1
"54","Lutjanidae","Lutjanus","Lutjanus bohar",1
"55","Lutjanidae","Lutjanus","Lutjanus carponotatus",4
"56","Lutjanidae","Lutjanus","Lutjanus fulviflamma",1
"57","Lutjanidae","Lutjanus","Lutjanus gibbus",6
"58","Labridae","Macropharyngodon","Macropharyngodon meleagris",1
"59","Labridae","Macropharyngodon","Macropharyngodon negrosensis",1
"60","Acanthuridae","Naso","Naso brevirostris",28
"61","Acanthuridae","Naso","Naso lituratus",6
"62","Acanthuridae","Naso","Naso unicornis",1
"63","Pomacentridae","Neoglyphidodon","Neoglyphidodon melas",1
"64","Labridae","Novaculichthys","Novaculichthys taeniourus",5
"65","Mullidae","Parupeneus","Parupeneus barberinus",2
"66","Mullidae","Parupeneus","Parupeneus cyclostomus",1
"67","Mullidae","Parupeneus","Parupeneus multifasciatus",1
"68","Serranidae","Plectropomus","Plectropomus leopardus",3
"69","Pomacanthidae","Pomacanthus","Pomacanthus sexstriatus",1
"70","Pomacentridae","Pomacentrus","Pomacentrus chrysurus",30
"71","Pomacentridae","Pomacentrus","Pomacentrus coelestis",2
"72","Pomacentridae","Pomacentrus","Pomacentrus grammorhynchus",1
"73","Pomacentridae","Pomacentrus","Pomacentrus moluccensis",10
"74","Pomacentridae","Pomacentrus","Pomacentrus wardi",1
"75","Scaridae","Scarus","Scarus altipinnis",2
"76","Scaridae","Scarus","Scarus chameleon",3
"77","Scaridae","Scarus","Scarus flavipectoralis",2
"78","Scaridae","Scarus","Scarus frenatus",5
"79","Scaridae","Scarus","Scarus globiceps",6
"80","Scaridae","Scarus","Scarus niger",34
"81","Scaridae","Scarus","Scarus psittacus",7
"82","Scaridae","Scarus","Scarus rivulatus",4
"83","Scaridae","Scarus","Scarus rubroviolaceus",3
"84","Scaridae","Scarus","Scarus schlegeli",2
"85","Nemipteridae","Scolopsis","Scolopsis bilineata",5
"86","Siganidae","Siganus","Siganus argenteus",11
"87","Siganidae","Siganus","Siganus corallinus",2
"88","Siganidae","Siganus","Siganus doliatus",11
"89","Siganidae","Siganus","Siganus puellus",3
"90","Siganidae","Siganus","Siganus punctatissimus",3
"91","Siganidae","Siganus","Siganus punctatus",3
"92","Siganidae","Siganus","Siganus vulpinus",3
"93","Pomacentridae","Stegastes","Stegastes apicalis",2
"94","Labridae","Stethojulis","Stethojulis bandanensis",1
"95","Labridae","Stethojulis","Stethojulis trilineata",4
"96","Balistidae","Sufflamen","Sufflamen chrysopterum",4
"97","Dasyatidae","Taeniurops","Taeniurops meyeni",1
"98","Labridae","Thalassoma","Thalassoma hardwicke",31
"99","Labridae","Thalassoma","Thalassoma lunare",3
"100","Labridae","Thalassoma","Thalassoma lutescens",2
"101","Labridae","Thalassoma","Thalassoma nigrofasciatum",15
"102","Carangidae","Uraspis","Uraspis uraspis",1
"103","Zanclidae","Zanclus","Zanclus cornutus",4
"104","Acanthuridae","Zebrasoma","Zebrasoma scopas",14
