Species,ForageMode,FoodTroph,ColumnFeed,Schooling,Range,TrophParr
Abudefduf whitleyi,suction,2.64,pelagic,3,2,plank
Acanthurus albipectoralis,picking,3.4,benthic,3,3,micro_inv
Acanthurus bariene,cropper,2,benthic,2,3,herb_mic
Acanthurus blochii,cropper,2,benthic,3,3,herb_mic
Acanthurus dussumieri,picking,2,benthic,3,3,det
Acanthurus grammoptilus,cropper,2.1,benthic,3,3,herb_mic
Acanthurus nigricauda,cropper,2.99,benthic,2,3,herb_mic
Acanthurus nigrofuscus,cropper,2,benthic,4,2,herb_mic
Acanthurus olivaceus,picking,2.26,benthic,3,3,det
Acanthurus xanthopterus,picking,2.87,benthic,3,3,macro_inv
Anampses twistii,picking,3.5,benthic,1,2,micro_inv
Arothron stellatus,picking,3.65,demersal,1,3,macro_inv
Balistapus undulatus,picking,3.37,benthic,1,2,macro_inv
Carangoides plagiotaenia,active,4.03,pelagic,3,4,pisc
Chaetodon auriga,picking,3.130000114,benthic,2,3,micro_inv
Chaetodon ephippium,picking,3.01,benthic,2,2,cor
Chaetodon unimaculatus,picking,3.21,benthic,3,3,cor
Chaetodon vagabundus,picking,2.9,benthic,2,2,cor
Cheilinus trilobatus,active,3.920000076,demersal,1,2,macro_inv
Chlorurus microrhinos,excavator,2.1,benthic,3,3,herb_mic
Coris batuensis,active,3.6,demersal,2,3,macro_inv
Coris gaimard,active,3.4,benthic,1,2,macro_inv
Ctenochaetus striatus,brushing,2,benthic,2,2,det
Halichoeres marginatus,picking,3.2,benthic,1,2,micro_inv
Halichoeres melanurus,picking,2.9,benthic,1,2,micro_inv
Halichoeres nebulosus,picking,3.3,benthic,1,2,macro_inv
Hemigymnus melapterus,picking,3.55,benthic,1,2,micro_inv
Hipposcarus longiceps,scraper,2.73,benthic,3,3,herb_mic
Hologymnosus doliatus,picking,3.79,benthic,2,3,micro_inv
Kyphosus vaigiensis,browser,2,benthic,2,4,herb_mic
Labroides dimidiatus,cleaner,3.85,pelagic,1,2,plank
Lethrinus ornatus,picking,3.369999886,demersal,2,3,macro_inv
Naso brevirostris,browser,2.22,demersal,3,4,herb_mic
Naso lituratus,browser,2.32,benthic,3,3,herb_mic
Naso unicornis,browser,2.17,benthic,3,3,herb_mic
Novaculichthys taeniourus,active,3.25,benthic,2,2,macro_inv
Oxycheilinus orientalis,picking,3.8,benthic,2,2,crust
Parupeneus barberinus,brushing,3.44,benthic,2,2,micro_inv
Parupeneus multifasciatus,brushing,3.61,benthic,3,3,crust
Plectropomus leopardus,active,4.41,demersal,1,2,pisc
Pomacanthus sexstriatus,picking,2.63,benthic,2,3,sess_inv
Pomacentrus chrysurus,picking,2.64,benthic,2,1,herb_mic
Pomacentrus coelestis,picking,3.18,demersal,3,2,micro_inv
Pomacentrus moluccensis,picking,2.47,demersal,3,1,plank
Pseudocheilinus hexataenia,picking,3.2,benthic,3,2,micro_inv
Scarus chameleon,scraper,2,benthic,3,3,herb_mic
Scarus frenatus,scraper,2,benthic,2,3,herb_mic
Scarus ghobban,scraper,2,benthic,2,3,herb_mic
Scarus globiceps,scraper,2,benthic,1,3,herb_mic
Scarus niger,scraper,2,benthic,1,2,herb_mic
Scarus psittacus,scraper,2,benthic,3,3,herb_mic
Scarus rivulatus,scraper,2.71,benthic,4,3,herb_mic
Scarus rubroviolaceus,scraper,2,benthic,2,3,herb_mic
Scarus schlegeli,scraper,2.75,benthic,1,3,herb_mic
Scolopsis bilineata,active,3.62,demersal,2,2,crust
Siganus argenteus,cropper,2.630000114,benthic,4,4,herb_mic
Siganus doliatus,cropper,2,benthic,2,2,herb_mic
Siganus puellus,cropper,3,benthic,2,2,sess_inv
Stethojulis bandanensis,active,3.31,demersal,2,2,micro_inv
Stethojulis strigiventer,active,3.11,demersal,3,2,micro_inv
Strongylura incisa,active,4.2,pelagic,2,3,pisc
Sufflamen chrysopterum,picking,3.45,benthic,1,1,micro_inv
Thalassoma hardwicke,picking,3.5,benthic,3,2,micro_inv
Thalassoma lunare,picking,3.5,benthic,2,2,plank
Thalassoma nigrofasciatum,picking,3.23,demersal,3,2,macro_inv
Zebrasoma scopas,cropper,2,benthic,3,2,herb_mic
Zebrasoma velifer,cropper,2,benthic,2,2,herb_mic
