Species,TrophicGroup,ForageMode,ColumnFeed
Chlorurus microrhinos,5,5,3
Chlorurus spilurus,5,5,3
Coris gaimard,3,0,3
Diagramma pictum,3,0,3
Novaculichthys taeniourus,3,0,3
Parupeneus cyclostomus,0,0,3
Naso lituratus,5,4,3
Naso unicornis,5,4,3
Ctenochaetus striatus,4,2,3
Parupeneus barberinus,3,2,3
Parupeneus multifasciatus,3,2,3
Acanthurus blochii,5,3,3
Acanthurus nigricauda,5,3,3
Acanthurus nigrofuscus,5,3,3
Centropyge bicolor,5,3,3
Cirripectes stigmaticus,5,3,3
Naso brevirostris,5,3,3
Siganus argenteus,5,3,3
Siganus corallinus,5,3,3
Siganus doliatus,5,3,3
Siganus puellus,5,3,3
Siganus punctatissimus,5,3,3
Siganus punctatus,5,3,3
Siganus vulpinus,5,3,3
Zebrasoma scopas,5,3,3
Acanthurus olivaceus,4,3,3
Dischistodus prosopotaenia,5,3,3
Dischistodus pseudochrysopoecilus,5,3,3
Pomacentrus wardi,5,3,3
Stegastes apicalis,5,3,3
Chaetodon baronessa,2,2,3
Chaetodon lunulatus,2,2,3
Chaetodon melannotus,2,2,3
Labrichthys unilineatus,2,2,3
Balistoides viridescens,3,2,3
Bodianus axillaris,3,1,3
Halichoeres chloropterus,3,1,3
Halichoeres margaritaceus,3,1,3
Halichoeres marginatus,3,1,3
Halichoeres melanurus,3,1,3
Halichoeres nebulosus,3,1,3
Hemigymnus melapterus,3,1,3
Macropharyngodon meleagris,3,1,3
Macropharyngodon negrosensis,3,1,3
Thalassoma hardwicke,3,1,3
Thalassoma lunare,3,1,3
Thalassoma lutescens,3,1,3
Chaetodon auriga,2,1,3
Chaetodon citrinellus,2,1,3
Chaetodon ephippium,2,1,3
Chaetodon lineolatus,2,1,3
Chaetodon rafflesii,2,1,3
Chaetodon ulietensis,2,1,3
Chaetodon unimaculatus,2,1,3
Chaetodon vagabundus,2,1,3
Neoglyphidodon melas,2,1,3
Pomacanthus sexstriatus,2,1,3
Pomacentrus chrysurus,2,1,3
Sufflamen chrysopterum,2,1,3
Hipposcarus longiceps,5,4,3
Scarus altipinnis,5,4,3
Scarus chameleon,5,4,3
Scarus flavipectoralis,5,4,3
Scarus frenatus,5,4,3
Scarus globiceps,5,4,3
Scarus niger,5,4,3
Scarus psittacus,5,4,3
Scarus rivulatus,5,4,3
Scarus rubroviolaceus,5,4,3
Scarus schlegeli,5,4,3
Cheilinus fasciatus,3,0,2
Cheilinus trilobatus,3,0,2
Lethrinus atkinsoni,3,0,2
Scolopsis bilineata,3,0,2
Stethojulis bandanensis,3,0,2
Stethojulis trilineata,3,0,2
Epibulus insidiator,0,0,2
Lethrinus lentjan,0,0,2
Lutjanus bohar,0,0,2
Lutjanus carponotatus,0,0,2
Lutjanus fulviflamma,0,0,2
Plectropomus leopardus,0,0,2
Taeniurops meyeni,0,0,2
Cephalopholis argus,0,0,2
Pomacentrus grammorhynchus,5,3,2
Cheilinus chlorourus,3,1,2
Lethrinus nebulosus,3,1,2
Lethrinus ornatus,3,1,2
Lutjanus gibbus,3,1,2
Thalassoma nigrofasciatum,3,1,2
Chrysiptera caesifrons,2,1,2
Pomacentrus coelestis,2,1,2
Pomacentrus moluccensis,2,1,2
Zanclus cornutus,2,1,2
Dascyllus aruanus,0,0,2
Caranx sexfasciatus,0,0,1
Carcharhinus melanopterus,0,0,1
Grammatorcynus bicarinatus,0,0,1
Uraspis uraspis,0,0,1
Labroides dimidiatus,0,0,1
Amblyglyphidodon curacao,2,0,1
Abudefduf whitleyi,0,0,1
Acanthochromis polyacanthus,0,0,1
Chromis viridis,0,0,1
