,genus,family,Species,Schooling,Range,MB_notes,Notes
3,Acanthurus,Acanthuridae,Acanthurus blochii,3,3,closely tied to reefs for shelter,
4,Acanthurus,Acanthuridae,Acanthurus nigricauda,2,3,solitary or small groups,
5,Acanthurus,Acanthuridae,Acanthurus nigrofuscus,4,3,feed in large schools,
6,Acanthurus,Acanthuridae,Acanthurus olivaceus,3,3,feeds in small groups,
38,Ctenochaetus,Acanthuridae,Ctenochaetus striatus,2,3,"single, to large schools",
65,Naso,Acanthuridae,Naso brevirostris,3,3,Usually in small groups,really depends on the life stage
66,Naso,Acanthuridae,Naso lituratus,3,3,Usually in small groups,
67,Naso,Acanthuridae,Naso unicornis,3,3,Usually in small groups,
109,Zebrasoma,Acanthuridae,Zebrasoma scopas,3,2,small range. forms resident spawning aggregations,
9,Balistoides,Balistidae,Balistoides viridescens,1,2,"feeds singly, territorial if guarding nest. Otherwise small patch range",
102,Sufflamen,Balistidae,Sufflamen chrysopterum,1,1,"feeds singly, territorial",
36,Cirripectes,Blenniidae,Cirripectes stigmaticus,1,1,site attached,
12,Caranx,Carangidae,Caranx sexfasciatus,4,4,"feed in large schools, large home ranges",
107,Uraspis,Carangidae,Uraspis uraspis,2,4,pairs,
13,Carcharhinus,Carcharhinidae,Carcharhinus melanopterus,1,4,"solitary, feeds singly, large home range",
17,Chaetodon,Chaetodontidae,Chaetodon auriga,2,3,"often in pairs, roam/feed over large areas",
18,Chaetodon,Chaetodontidae,Chaetodon baronessa,1,2,"feeds singly, small roaming area",
19,Chaetodon,Chaetodontidae,Chaetodon citrinellus,2,2,often in pairs,
20,Chaetodon,Chaetodontidae,Chaetodon ephippium,2,2,,
21,Chaetodon,Chaetodontidae,Chaetodon lineolatus,2,2,"solitary or in pairs, small roaming area",
22,Chaetodon,Chaetodontidae,Chaetodon lunulatus,2,2,,
23,Chaetodon,Chaetodontidae,Chaetodon melannotus,1,2,feeds singly,
24,Chaetodon,Chaetodontidae,Chaetodon rafflesii,2,2,"solitary or in pairs, small roaming area",
25,Chaetodon,Chaetodontidae,Chaetodon ulietensis,2,2," Usually solitary, in pairs or in small groups",
26,Chaetodon,Chaetodontidae,Chaetodon unimaculatus,3,3,"often in small groups, roam/feed over large areas",
27,Chaetodon,Chaetodontidae,Chaetodon vagabundus,2,2,"solitary or in pairs, small roaming area",
103,Taeniurops,Dasyatidae,Taeniurops meyeni,1,2,solitary ,
40,Diagramma,Haemulidae,Diagramma pictum,2,3,,Davis et al. 2015
10,Bodianus,Labridae,Bodianus axillaris,2,2,"often solitary or in pairs, small territorial/feeding area",
28,Cheilinus,Labridae,Cheilinus chlorourus,2,2,"often solitary or in pairs, small territorial/feeding area",
29,Cheilinus,Labridae,Cheilinus fasciatus,1,2,"often solitary, small to average feeding area",
30,Cheilinus,Labridae,Cheilinus trilobatus,1,2,"often solitary, small territorial/feeding area",
37,Coris,Labridae,Coris gaimard,1,2,"often solitary, small to average feeding area",
43,Epibulus,Labridae,Epibulus insidiator,1,2,"often solitary, small to average feeding area",
45,Halichoeres,Labridae,Halichoeres chloropterus,1,2,"often solitary, relative large feeding area",
47,Halichoeres,Labridae,Halichoeres margaritaceus,1,2,"often solitary, small to average feeding area",
48,Halichoeres,Labridae,Halichoeres marginatus,1,2,"often solitary, small to average feeding area",
49,Halichoeres,Labridae,Halichoeres melanurus,1,2,"often solitary, small to average feeding area",
50,Halichoeres,Labridae,Halichoeres nebulosus,1,2,"often solitary, small feeding area",
51,Hemigymnus,Labridae,Hemigymnus melapterus,1,2,"often solitary, average feeding area",
53,Labrichthys,Labridae,Labrichthys unilineatus,2,2,"solitary or in pairs, small roaming area",
54,Labroides,Labridae,Labroides dimidiatus,1,2,"often solitary, small feeding area",
