Species,FeedingType,FoodTroph,FoodSeTroph,meanL
Abudefduf whitleyi,selective plankton feeding,2.64,0.29,15
Acanthochromis polyacanthus,selective plankton feeding,2.69,0.3,55
Acanthurus blochii,grazing on aquatic plants,2,0,25
Acanthurus nigricauda,grazing on aquatic plants,2.99,0.4,20.833333333333332
Acanthurus nigrofuscus,browsing on substrate,2,0,15.5
Acanthurus olivaceus,grazing on aquatic plants,2.26,0.17,15
Amblyglyphidodon curacao,grazing on aquatic plants,3.0999999046325684,0.2328,55
Balistoides viridescens,hunting macrofauna (predator),3.33,0.44,25
Bodianus axillaris,hunting macrofauna (predator),3.42,0.45,55
Caranx sexfasciatus,hunting macrofauna (predator),3.58,0.49,25
Carcharhinus melanopterus,hunting macrofauna (predator),4.33,0.67,85
Centropyge bicolor,grazing on aquatic plants,2.97,0.34,15
Cephalopholis argus,hunting macrofauna (predator),4.16,0.73,25
Chaetodon auriga,hunting macrofauna (predator),3.130000114440918,0.40880000000000005,21.666666666666668
Chaetodon baronessa,hunting macrofauna (predator),3.34,0.61,55
Chaetodon citrinellus,variable,2.98,0.37,41.666666666666664
Chaetodon ephippium,hunting macrofauna (predator),3.01,0.43,35
Chaetodon lineolatus,hunting macrofauna (predator),3.39,0.55,15
Chaetodon lunulatus,NA,3.34,0.61,31
Chaetodon melannotus,hunting macrofauna (predator),3.47,0.56,30
Chaetodon rafflesii,hunting macrofauna (predator),3.4,0.45,55
Chaetodon ulietensis,hunting macrofauna (predator),2.71,0.24,35
Chaetodon unimaculatus,hunting macrofauna (predator),3.21,0.42,55
Chaetodon vagabundus,hunting macrofauna (predator),2.9,0.4,45
Cheilinus chlorourus,hunting macrofauna (predator),3.46,0.52,31.666666666666668
Cheilinus fasciatus,hunting macrofauna (predator),3.37,0.4,15
Cheilinus trilobatus,hunting macrofauna (predator),3.920000076293945,0.6061,17.5
Chlorurus microrhinos,NA,NA,NA,25
Chlorurus spilurus,NA,NA,NA,38.333333333333336
Chromis viridis,selective plankton feeding,2.5,0.24,55
Chrysiptera caesifrons,NA,NA,NA,35
Cirripectes stigmaticus,grazing on aquatic plants,2,0,55
Coris gaimard,hunting macrofauna (predator),3.4,0.44,19
Ctenochaetus striatus,browsing on substrate,2,0,16.70212765957447
Dascyllus aruanus,grazing on aquatic plants,3.3499999046325684,0.4174,15
Diagramma pictum,hunting macrofauna (predator),3.39,0.48,25
Dischistodus prosopotaenia,grazing on aquatic plants,2.7,0.18,55
Dischistodus pseudochrysopoecilus,grazing on aquatic plants,2,0,55
Epibulus insidiator,hunting macrofauna (predator),4.01,0.66,20
Grammatorcynus bicarinatus,hunting macrofauna (predator),4.5,0.8,32.5
Halichoeres chloropterus,hunting macrofauna (predator),3.37,0.4,35
Halichoeres margaritaceus,hunting macrofauna (predator),3.66,0.5,15
Halichoeres marginatus,hunting macrofauna (predator),NA,NA,47
Halichoeres melanurus,hunting macrofauna (predator),NA,NA,27
Halichoeres nebulosus,hunting macrofauna (predator),NA,NA,47
Hemigymnus melapterus,variable,3.55,0.45,19.347826086956523
Hipposcarus longiceps,grazing on aquatic plants,2.73,0.25,25
Labrichthys unilineatus,hunting macrofauna (predator),3.34,0.61,35
Labroides dimidiatus,picking parasites off a host (cleaner),3.85,0.63,55
Lethrinus atkinsoni,hunting macrofauna (predator),3.51,0.52,18.333333333333332
Lethrinus lentjan,hunting macrofauna (predator),3.8699998855590816,0.5445,15
Lethrinus nebulosus,hunting macrofauna (predator),3.6400001049041752,0.5399,25
Lethrinus ornatus,hunting macrofauna (predator),3.369999885559082,0.4278,25
Lutjanus bohar,hunting macrofauna (predator),3.6199998855590816,0.5678,25
Lutjanus carponotatus,hunting macrofauna (predator),4.02,0.67,27.5
Lutjanus fulviflamma,hunting macrofauna (predator),3.85,0.62,25
Lutjanus gibbus,hunting macrofauna (predator),3.6300001144409184,0.5149,16.666666666666668
Macropharyngodon meleagris,hunting macrofauna (predator),NA,NA,55
Macropharyngodon negrosensis,NA,NA,NA,55
Naso brevirostris,selective plankton feeding,2.22,0.15,15
Naso lituratus,browsing on substrate,2.32,0.19,18.333333333333332
Naso unicornis,browsing on substrate,2.17,0.11,15
Neoglyphidodon melas,variable,3.02,0.33,55
